Potential Resistance region,,Region length,Reads mapped to region,reads mapped per kilobase region
gb|AF242872|+|2131-2878|ARO:3000375|ErmB,,748,1038650,1.388569519
gb|U00096|+|3891614-3892790|ARO:3001215|mdtL,,1177,577289,0.490474936
gb|Z21523|+|0-1974|ARO:3000191|tetQ,,1974,940961,0.476677305
gb|D78168|+|1591-3130|ARO:3000254|emrY,,1540,699765,0.454392857
gb|GG749185.1|+|116812-118003|ARO:3000309|emrD,,1191,529659,0.444717884
gb|U00096|+|2812615-2814154|ARO:3000074|emrB,,1540,614538,0.399050649
gb|U00096|-|4567286-4568519|ARO:3001214|mdtM,,1234,435915,0.353253647
gb|NC_007779|-|1115840-1117067|ARO:3001329|mdtG,,1228,414182,0.337281759
gb|U00096|+|2158385-2161463|ARO:3000794|mdtC,,3079,1019515,0.33111887
gb|EU434751|+|658-2578|ARO:3000194|tetW,,1920,628796,0.327497917
gb|U00096|+|3415032-3418137|ARO:3000502|acrF,,3106,1005433,0.323706697
gb|NC_000913.3|-|481253-484403|ARO:3000216|acrB,,3150,981547,0.311602222
gb|U00096|+|2484373-2487967|ARO:3000833|evgS,,3595,1108248,0.308274826
gb|JQ394987|+|0-1233|ARO:3001328|mdfA,,1233,349987,0.283849959
gb|AP009048|-|4306556-4307588|ARO:3003548|mdtN,,1032,290921,0.281900194
gb|AP009048|+|2810082-2811255|ARO:3000027|emrA,,1174,328626,0.279919932
gb|NC_007779|+|2586250-2589364|ARO:3000491|acrD,,3115,838341,0.269130337
gb|NC_000913.3|+|2810769-2811300|ARO:3000516|emrR,,531,142085,0.267580038
gb|M17124|+|1181-1982|ARO:3000498|ErmF,,801,207576,0.259146067
gb|CP015085.1|-|3009839-3010538|ARO:3004055|Escherichia,,699,180160,0.257739628
gb|U00096|+|2155262-2158385|ARO:3000793|mdtB,,3124,802696,0.256944942
gb|U00096|+|3413863-3415021|ARO:3000499|acrE,,1159,290985,0.251065574
gb|NC_002695|-|4903561-4904935|ARO:3000830|cpxA,,1375,344908,0.250842182
gb|NC_002695|+|3211891-3212506|ARO:3000832|evgA,,616,149581,0.242826299
gb|FJ768952|+|0-1488|ARO:3000237|tolC,,1488,356510,0.239590054
gb|GQ342996|+|797-1793|ARO:3003097|CfxA6,,997,231618,0.232314945
gb|NC_000913.3|-|484425-485619|ARO:3004043|Escherichia,,1194,263018,0.220283082
gb|NC_007779|+|1621287-1621671|ARO:3000263|marA,,385,84249,0.218828571
gb|AP009048|+|2165012-2166416|ARO:3000829|baeS,,1405,296887,0.211307473
gb|CP015085.1|-|2551711-2552440|ARO:3003838|gadW,,729,149733,0.205395062
gb|NC_007779|+|2166412-2167135|ARO:3000828|baeR,,724,139743,0.193015193
gb|M37699|+|585-1752|ARO:3000205|tetX,,1168,220983,0.189197774
gb|NC_000913.3|-|4634440-4635310|ARO:3004109|Escherichia,,870,119550,0.137413793
gb|M18896|+|0-1920|ARO:3000190|tetO,,1920,215282,0.112126042
gb|GQ343019|+|132-1023|ARO:3002999|CblA-1,,892,90589,0.101557175
gb|CP004067|+|52914-53709|ARO:3002647|APH(3')-IIIa,,796,66675,0.083762563
gb|AJ295238|+|0-1920|ARO:3000196|tet32,,1920,129679,0.067541146
gb|AF118110|-|71-1037|ARO:3003002|CfxA2,,967,55898,0.057805584
gb|AF313472|+|15593-16397|ARO:3002639|APH(3'')-Ib,,805,33753,0.041929193
gb|U38243|+|149-1115|ARO:3003001|CfxA,,967,37503,0.038782834
gb|NC_023287|-|65291-66509|ARO:3000615|mefA,,1219,43804,0.035934372
gb|NC_010378.1|+|47850-51003|ARO:3003923|oqxB,,3153,112781,0.035769426
gb|AY769934|+|27-993|ARO:3003096|CfxA5,,967,33537,0.034681489
gb|AF024602|+|3155-3992|ARO:3002660|APH(6)-Id,,838,28982,0.034584726
gb|AY769933|+|0-966|ARO:3003005|CfxA4,,967,33440,0.034581179
gb|AF472622|+|52-1018|ARO:3003003|CfxA3,,967,33397,0.034536711
gb|JF969163|+|1053-1893|ARO:3000410|sul1,,841,25761,0.030631391
gb|KJ510410|+|6950-7826|ARO:3001396|OXA-1,,877,26206,0.029881414
gb|D78168|+|536-1592|ARO:3000206|emrK,,1057,25042,0.02369158
gb|U00096|+|3660413-3663527|ARO:3000796|mdtF,,3115,61328,0.019687961
gb|KF151169|+|0-831|ARO:3001793|OXA-320,,831,14339,0.017255114
gb|AP009048|-|4338624-4340268|ARO:3003576|PmrC,,1645,27893,0.016956231
gb|U00096|+|2154015-2155263|ARO:3000792|mdtA,,1249,21076,0.016874299
gb|NC_010378.1|+|46651-47827|ARO:3003922|oqxA,,1176,19590,0.016658163
gb|AJ318073.1|+|793-1990|ARO:3004041|Klebsiella,,1197,17260,0.014419382
gb|AY055428|-|20268-21084|ARO:3000412|sul2,,817,11486,0.014058752
gb|Z11877.1|+|0-1244|ARO:3004039|Escherichia,,1244,15857,0.012746785
gb|AY712687|+|0-831|ARO:3002628|aad(6),,832,10528,0.012653846
gb|NC_020418|+|458865-460071|ARO:3000165|tet(A),,1207,14829,0.012285833
gb|JQ740052|+|2108-3329|ARO:3000567|tet(40),,1222,14675,0.012009002
gb|U01945|+|373-916|ARO:3002897|SAT-4,,544,6237,0.011465074
gb|KP143090|-|1199-1619|ARO:3003209|FosA5,,420,4679,0.011140476
gb|NC_010410|-|3621491-3622283|ARO:3002601|aadA,,793,8600,0.010844893
gb|AJ011502|+|0-1463|ARO:3004122|Klebsiella,,1463,14258,0.009745728
gb|JN129451|+|1036-1867|ARO:3001399|OXA-4,,832,7788,0.009360577
gb|AY587982|+|309-1806|ARO:3000300|lsaA,,1498,13585,0.009068758
gb|AB089595|+|0-1206|ARO:3000166|tet(B),,1206,10846,0.008993367
gb|JN596991|+|2280-3111|ARO:3001806|OXA-224,,832,7445,0.008948317
gb|AP009048|-|4304505-4306557|ARO:3003549|mdtO,,2052,18354,0.008944444
gb|M35190|+|0-624|ARO:3002670|cat,,624,5560,0.008910256
gb|AY082011|+|5900-6932|ARO:3000005|vanD,,1033,8519,0.008246854
gb|AF294653|+|753-1584|ARO:3001425|OXA-31,,832,6593,0.007924279
gb|DQ677333|+|0-780|ARO:3002621|aadA24,,780,6019,0.007716667
gb|AB091338|+|173-1355|ARO:3003551|emeA,,1182,8662,0.007328257
gb|CP014358.1|-|2161325-2162750|ARO:3001327|mdtK,,1425,10429,0.007318596
gb|AF028811|+|0-462|ARO:3002875|dfrE,,463,3242,0.00700216
gb|U05883|+|555-1458|ARO:3003559|cepA,,903,6033,0.006681063
gb|JQ727667|+|0-870|ARO:3004108|Enterobacter,,870,5598,0.006434483
gb|AF028812|+|392-887|ARO:3002867|dfrF,,496,3081,0.006211694
gb|AM180355|+|600033-601953|ARO:3000186|tetM,,1921,11842,0.006164498
gb|L11616|+|1569-4710|ARO:3000378|MexB,,3142,19189,0.006107257
gb|AM261837|+|73-865|ARO:3002619|aadA22,,793,4681,0.0059029
gb|AY008291|+|0-769|ARO:3001427|OXA-33,,769,4483,0.005829649
gb|EU999036|+|688-1390|ARO:3002934|vanSD,,702,3986,0.005678063
gb|DQ679966|+|299-1493|ARO:3004042|Enterobacter,,1194,6744,0.005648241
gb|Y11946.1|+|0-980|ARO:3002578|AAC(6')-Ib7,,980,5289,0.005396939
gb|AJ809407|+|118-898|ARO:3002620|aadA23,,781,3580,0.004583867
gb|AY082011|+|0-699|ARO:3002923|vanRD,,700,2968,0.00424
gb|NC_023287|-|60996-61860|ARO:3002626|ANT(6)-Ia,,864,3444,0.003986111
gb|AY171244|+|46-838|ARO:3002618|aadA21,,793,3027,0.00381715
gb|DQ393783|+|1799-2591|ARO:3002615|aadA15,,793,2818,0.003553594
gb|AB061440|-|305-770|ARO:3002870|tet34,,465,1648,0.003544086
gb|AY082011|+|6937-7546|ARO:3003070|vanXD,,609,2108,0.003461412
gb|NC_007779|+|3974604-3975429|ARO:3000508|gadX,,826,2761,0.003342615
gb|AY139603|+|106-898|ARO:3002608|aadA8,,793,2541,0.003204288
gb|EU487198|+|216-642|ARO:3002804|FosA2,,427,1305,0.003056206
gb|L12710|+|0-549|ARO:3002556|AAC(6')-Ii,,549,1386,0.00252459
gb|FJ381668|+|56-848|ARO:3002612|aadA12,,793,1928,0.002431274
gb|AF313494|+|0-1479|ARO:3002819|msrC,,1479,3336,0.002255578
gb|AY928180|+|0-495|ARO:3002837|lnuC,,495,1086,0.002193939
gb|NC_012469|-|1800927-1802391|ARO:3000616|mel,,1465,2771,0.001891468
gb|NG_051497.1|+|0-620|ARO:3004111|FosA6,,620,1038,0.001674194
gb|NC_005024|+|42504-43944|ARO:3002597|AAC(6')-Ie-APH(2'')-Ia,,1441,1857,0.001288688
gb|AFRQ01000061.1|-|23986-27124|ARO:3004144|AxyY,,3138,4015,0.001279477
gb|AJ133121|+|649-1810|ARO:3001815|ACC-1,,1162,1448,0.001246127
gb|FJ460181|+|1790-2582|ARO:3002617|aadA17,,793,963,0.001214376
gb|AY171578|+|0-564|ARO:3000167|tet(C),,565,673,0.00119115
gb|AJ584701|+|10-562|ARO:3002590|AAC(6')-Iih,,553,655,0.001184448
gb|AY082011|+|4936-5908|ARO:3002944|vanHD,,973,1131,0.001162384
gb|AP009048|-|3980025-3981183|ARO:3000795|mdtE,,1159,1170,0.001009491
gb|U00096|-|3412802-3413465|ARO:3000656|acrS,,664,649,0.00097741
gb|KC603538|+|0-1131|ARO:3002111|CMY-98,,1131,1098,0.000970822
gb|JX440355|+|751-1897|ARO:3001834|ACT-12,,1147,1072,0.000934612
gb|AJ252200|+|1278-4401|ARO:3003056|smeE,,3124,2801,0.000896607
gb|NC_003098.1|+|866210-867410|ARO:3000822|pmrA,,1200,1026,0.000855
gb|AB467372.1|+|284-1571|ARO:3003954|efmA,,1287,1098,0.000853147
gb|AY660529.1|+|0-3902|ARO:3003676|AAC(6')-Ib',,3902,3199,0.000819836
gb|DQ212986|+|2258-2966|ARO:3002926|vanRG,,709,565,0.000796897
gb|EF504260|-|1994-3155|ARO:3001818|ACC-4,,1162,852,0.000733219
gb|KF992027|+|700-1846|ARO:3001843|ACT-22,,1147,797,0.000694856
gb|AY339625|-|3640-4786|ARO:3002024|CMY-13,,1147,726,0.000632956
gb|AF337947|+|271-1171|ARO:3002635|APH(2'')-IIa,,901,528,0.000586016
gb|L42817|+|201-936|ARO:3000522|ErmG,,736,396,0.000538043
gb|X92945|-|0-648|ARO:3002670|cat,,648,337,0.000520062
gb|AF337947|+|1214-1751|ARO:3002559|AAC(6')-Ip,,538,265,0.000492565
gb|L09756|+|0-1926|ARO:3000192|tetS,,1926,930,0.000482866
gb|M11036|+|0-1377|ARO:3000179|tet(L),,1377,629,0.00045679
gb|CP003022|+|336788-337580|ARO:3003197|aadA25,,792,335,0.00042298
gb|NC_002516.2|-|2850882-2854014|ARO:3004074|MuxB,,3132,1291,0.000412197
gb|KM926622|+|238-1384|ARO:3003172|ACT-37,,1147,453,0.000394943
gb|HQ693810|+|1008-2151|ARO:3001826|ACT-9,,1144,439,0.000383741
gb|KJ207206|+|751-1897|ARO:3001848|ACT-28,,1147,427,0.000372276
gb|HE819401|+|0-1161|ARO:3001819|ACC-5,,1161,427,0.000367786
gb|AJ400733.1|+|21-585|ARO:3002854|dfrA1,,564,192,0.000340426
gb|V00622|+|243-903|ARO:3002683|catI,,661,217,0.00032829
gb|JX440350|+|1026-2172|ARO:3002083|CMY-70,,1147,360,0.000313862
gb|BX664015|-|204137-204554|ARO:3000168|tet(D),,418,123,0.000294258
gb|DQ212986|+|5137-5983|ARO:3002965|vanWG,,847,239,0.000282172
gb|KM087832|+|0-1146|ARO:3001849|ACT-29,,1146,319,0.00027836
gb|FJ237366|+|40-1186|ARO:3001825|ACT-6,,1147,317,0.000276373
gb|NC_002516.2|-|2847775-2850886|ARO:3004075|MuxC,,3111,820,0.000263581
gb|KM087864|+|0-1146|ARO:3002179|MIR-14,,1146,296,0.00025829
gb|NC_000913.3|-|721055-721733|ARO:3003841|kdpE,,678,170,0.000250737
gb|KF526113|+|0-1146|ARO:3002112|CMY-100,,1146,281,0.000245201
gb|HM046998|+|1039-2185|ARO:3002058|CMY-47,,1147,276,0.000240628
gb|JQ664733|+|0-1146|ARO:3002171|MIR-6,,1146,267,0.000232984
gb|BA000007|+|5101244-5102585|ARO:3004126|Escherichia,,1341,302,0.000225205
gb|JX440349|+|1026-2172|ARO:3002087|CMY-74,,1147,252,0.000219704
gb|FJ854362|+|2338-2812|ARO:3002862|dfrA7,,475,100,0.000210526
gb|KF526114|+|0-1146|ARO:3002113|CMY-101,,1146,226,0.000197208
gb|KJ207203|+|5-1151|ARO:3002095|CMY-82,,1147,207,0.000180471
gb|JX440358|+|130-775|ARO:3002762|QnrB47,,646,114,0.000176471
gb|AB734053|+|2303-2948|ARO:3002774|QnrB61,,646,114,0.000176471
gb|JX440357|+|135-780|ARO:3002765|QnrB50,,646,114,0.000176471
gb|U00096|-|3203309-3204131|ARO:3002986|bacA,,823,140,0.000170109
gb|DQ212986|+|7787-9926|ARO:3002972|vanTG,,2140,358,0.00016729
gb|HE819402|+|0-1146|ARO:3001835|ACT-13,,1146,191,0.000166667
gb|AF319779|+|0-801|ARO:3000604|Erm(35),,803,127,0.000158157
gb|DQ212986|+|7030-7795|ARO:3003069|vanXYG,,766,121,0.000157963
gb|AF326777|-|23980-24640|ARO:3002670|cat,,661,103,0.000155825
gb|AJ871877|+|0-876|ARO:3002416|OXY-6-4,,876,136,0.000155251
gb|AJ871875|+|0-873|ARO:3002414|OXY-6-2,,873,134,0.000153494
gb|DQ212986|+|5984-7034|ARO:3002909|vanG,,1051,157,0.000149382
gb|EU427302|+|1475-2618|ARO:3001829|ACT-4,,1144,165,0.000144231
gb|JX440351|+|1026-2172|ARO:3002096|CMY-83,,1147,162,0.000141238
gb|AJ871874|+|0-876|ARO:3002413|OXY-6-1,,876,120,0.000136986
gb|JN714480|+|1039-2185|ARO:3002081|CMY-68,,1147,142,0.000123801
gb|AJ584700|+|33-582|ARO:3002589|AAC(6')-Iid,,550,67,0.000121818
gb|AB587082|+|0-1188|ARO:3002069|CMY-59,,1188,138,0.000116162
gb|EF125013|+|0-1146|ARO:3001823|ACT-3,,1146,132,0.000115183
gb|FJ237369|+|0-1146|ARO:3001824|ACT-5,,1146,126,0.000109948
gb|KF526118|+|0-1146|ARO:3001842|ACT-21,,1146,125,0.000109075
gb|JQ341060|-|881-1742|ARO:3001344|SHV-143,,862,93,0.000107889
gb|KJ207205|+|1039-2185|ARO:3002117|CMY-105,,1147,119,0.000103749
gb|FJ981621|+|0-648|ARO:3002737|QnrB22,,648,60,9.26E-05
gb|NC_000913.3|+|966620-968369|ARO:3003950|msbA,,1749,160,9.15E-05
gb|AJ871876|+|0-876|ARO:3002415|OXY-6-3,,876,80,9.13E-05
gb|NC_000913.3|+|3219493-3220873|ARO:3000024|patA,,1380,118,8.55E-05
gb|NC_000913.3|-|1170517-1173964|ARO:3003844|mfd,,3447,286,8.30E-05
gb|KF992025|+|1026-2172|ARO:3002106|CMY-93,,1147,91,7.93E-05
gb|AB211124|+|0-525|ARO:3002895|SAT-1,,525,41,7.81E-05
gb|JX560992|+|8592-9321|ARO:3002630|ANT(9)-Ia,,730,57,7.81E-05
gb|HM569226|+|1039-2185|ARO:3002059|CMY-48,,1147,89,7.76E-05
gb|NC_002516|+|2810008-2813197|ARO:3000804|MexF,,3190,247,7.74E-05
gb|U15027|+|0-624|ARO:3002686|catP,,624,45,7.21E-05
gb|AF226276.1|+|3583-4207|ARO:3002682|catD,,624,45,7.21E-05
gb|JQ733572|+|1027-2173|ARO:3002088|CMY-75,,1147,82,7.15E-05
gb|D85892|+|1158-2067|ARO:3000318|mphB,,910,65,7.14E-05
gb|KF823969|+|5110-6139|ARO:3000013|vanB,,1030,70,6.80E-05
gb|AF173226|+|3767-6917|ARO:3003052|smeB,,3151,209,6.63E-05
gb|AB205645|+|1012-1510|ARO:3002868|dfrG,,499,33,6.61E-05
gb|U35369|+|177-840|ARO:3002921|vanRB,,663,43,6.49E-05
gb|U35369|+|839-2183|ARO:3002932|vanSB,,1344,84,0.0000625
gb|GQ290211|-|0-513|ARO:3001169|SHV-122,,514,32,6.23E-05
gb|AP009048|-|4303042-4304509|ARO:3003550|mdtP,,1467,88,6.00E-05
gb|JQ727668|+|0-375|ARO:3000823|ramA,,375,22,5.87E-05
