Potential Resistance region,Region length,Reads mapped to region,reads mapped per kilobase region
gb|NC_007779|-|3323917-3324766|ARO:3003386|Escherichia,850,384029,0.451798824
gb|AF335467|+|36-1164|ARO:3003385|Enterobacter,1128,350653,0.310862589
gb|NC_000913.3|+|891183-891906|ARO:3003751|Escherichia,723,167442,0.231593361
gb|NC_000913.3|-|1350250-1351039|ARO:3004045|antibiotic,789,156627,0.198513308
gb|AJ306389.1|-|636-1287|ARO:3003374|Enterobacter,651,23441,0.03600768
gb|NC_003197|-|4503969-4504293|ARO:3003383|Salmonella,325,10800,0.033230769
gb|NC_007779|-|986315-987404|ARO:3003390|Escherichia,1090,34534,0.031682569
gb|NC_003198.1|+|4349504-4349963|ARO:3003382|Salmonella,459,10027,0.021845316
gb|FO834906.1|-|2325636-2326308|ARO:3003585|Klebsiella,672,7628,0.01135119
gb|CP000647|+|489264-489915|ARO:3003373|Klebsiella,652,707,0.001084356
gb|AP009048|+|3760295-3762710|ARO:3003303|Escherichia,2416,388,0.000160596
gb|NC_004337.2|-|3159154-3161413|ARO:3003941|Shigella,2259,318,0.00014077
gb|HG738867|+|2934266-2935658|ARO:3003890|Escherichia,1392,189,0.000135776
gb|U00096|-|3163714-3165973|ARO:3003308|Escherichia,2260,282,0.000124779
gb|NC_000913.3|-|3470144-3471329|ARO:3003370|Escherichia,1185,126,0.000106329
gb|AH002539.2|+|1760-2945|ARO:3003368|Escherichia,1185,100,8.44E-05
gb|NC_002695|+|4990140-4994169|ARO:3003288|Escherichia,4030,330,8.19E-05
gb|NC_003197.1|-|3336946-3339205|ARO:3003939|Salmonella,2259,152,6.73E-05
gb|AE014075|-|3901532-3902762|ARO:3003369|Escherichia,1230,79,6.42E-05
gb|CP009072|+|1414817-1416077|ARO:3003775|Escherichia,1260,75,5.95E-05
gb|HG738867|-|2233288-2234647|ARO:3003889|Escherichia,1359,78,5.74E-05
gb|NC_007779|-|3172159-3174052|ARO:3003316|Escherichia,1894,88,4.65E-05
gb|AE005672|+|800699-803171|ARO:3003311|Streptococcus,2473,78,3.15E-05
gb|NC_000913.3|+|1150669-1151404|ARO:3004049|antibiotic,735,22,2.99E-05
gb|NC_004337.2|-|2352231-2354859|ARO:3003940|Shigella,2628,78,2.97E-05
gb|U67308.1|+|476-1670|ARO:3003361|Planobispora,1194,35,2.93E-05
gb|U00096|-|2336792-2339420|ARO:3003294|Escherichia,2629,65,2.47E-05
gb|NC_003197|-|4038854-4041269|ARO:3003307|Salmonella,2416,41,1.70E-05
gb|NC_017960.1|+|60337-61609|ARO:3003438|Enterococcus,1272,17,1.34E-05
gb|CP000647|-|622039-622621|ARO:3003380|Klebsiella,583,7,1.20E-05
gb|NC_003197.1|-|2373710-2376347|ARO:3003926|Salmonella,2637,29,1.10E-05
gb|NC_002516.2|+|1277687-1278365|ARO:3003895|Pseudomonas,678,5,7.37E-06
gb|NC_003197|-|3343961-3345854|ARO:3003317|Salmonella,1894,13,6.86E-06
gb|NC_002516.2|+|1278361-1279708|ARO:3003896|Pseudomonas,1347,8,5.94E-06
gb|AL123456|+|759806-763325|ARO:3003283|Mycobacterium,3520,8,2.27E-06
gb|NC_002516.2|-|1043982-1045314|ARO:3003686|Pseudomonas,1332,2,1.50E-06
gb|NC_020418|-|545199-547614|ARO:3003306|Morganella,2416,3,1.24E-06
gb|NC_002952|+|590830-594382|ARO:3003287|Staphylococcus,3552,3,8.45E-07
gb|NC_002952|+|590830-594382|ARO:3003285|Staphylococcus,3553,3,8.44E-07
gb|AL123456|+|7301-9818|ARO:3003295|Mycobacterium,2518,2,7.94E-07
gb|NC_002516.2|-|3556426-3559198|ARO:3003684|Pseudomonas,2772,2,7.22E-07
gb|AL450380|-|2273268-2276805|ARO:3003284|Mycobacterium,3538,1,2.83E-07
gb|NC_002516.2|+|5364070-5364736|ARO:3003582|basR,666,0,0
gb|JN645776|+|0-2160|ARO:3003041|Streptococcus,2160,0,0
gb|AL009126|-|290131-290698|ARO:3003028|lmrA,568,0,0
gb|AL123456|+|4246513-4249810|ARO:3003326|Mycobacterium,3298,0,0
gb|NC_002952|+|1417762-1419760|ARO:3003315|Staphylococcus,1999,0,0
gb|AL123456|+|410837-412760|ARO:3003448|Mycobacterium,1924,0,0
gb|NC_003923|+|1278585-1279164|ARO:3003323|Staphylococcus,579,0,0
gb|AL123456|-|4407527-4408202|ARO:3003470|Mycobacterium,676,0,0
gb|AL123456|+|412756-414238|ARO:3003451|Mycobacterium,1483,0,0
gb|CP003583|+|914819-915452|ARO:3003078|Enterococcus,634,0,0
gb|NC_002952|+|594518-598142|ARO:3003291|Staphylococcus,3625,0,0
gb|AE000516|+|4238826-4242123|ARO:3003465|Mycobacterium,3297,0,0
gb|AL123456|-|2288680-2289241|ARO:3003394|Mycobacterium,562,0,0
gb|AF469609|+|566-3353|ARO:3003297|Bartonella,2788,0,0
gb|HM140977|+|0-2511|ARO:3003319|Staphylococcus,2511,0,0
gb|CP003583|+|913745-914813|ARO:3003079|Enterococcus,1069,0,0
gb|NC_002952|+|7004-9665|ARO:3003296|Staphylococcus,2662,0,0
gb|CP013009|-|1008840-1010292|ARO:3003092|Enterococcus,1452,0,0
gb|NC_000962.3|-|2153888-2156111|ARO:3003392|Mycobacterium,2223,0,0
gb|AE000516|+|783533-783908|ARO:3003395|Mycobacterium,376,0,0
gb|AL123456|-|2101650-2103042|ARO:3003461|Mycobacterium,1393,0,0
gb|NC_007795|+|2155375-2156860|ARO:3003074|Staphylococcus,1486,0,0
gb|AL123456|-|1416180-1417347|ARO:3003455|Mycobacterium,1168,0,0
gb|CP003248|+|4243410-4246695|ARO:3003453|Mycobacterium,3286,0,0
gb|NC_008783|+|1406995-1409425|ARO:3003302|Bartonella,2431,0,0
gb|U75641|+|19-1066|ARO:3000464|Neisseria,1048,0,0
gb|CP003248|+|4240040-4243325|ARO:3003327|Mycobacterium,3286,0,0
gb|AL123456|+|1674201-1675011|ARO:3003393|Mycobacterium,811,0,0
gb|AL450380|+|5228-7265|ARO:3003304|Mycobacterium,2038,0,0
gb|NC_002952|+|5036-6968|ARO:3003301|Staphylococcus,1933,0,0
gb|AE000516|+|1908741-1909548|ARO:3003445|Mycobacterium,808,0,0
gb|AL123456|+|2518114-2519365|ARO:3003463|Mycobacterium,1252,0,0
gb|NC_009525.1|+|5239-7267|ARO:3003459|Mycobacterium,2028,0,0
gb|NC_017174|+|109609-110803|ARO:3003357|Clostridium,1194,0,0
gb|BX248333|+|4182808-4186105|ARO:3003325|Mycobacterium,3297,0,0
gb|NC_011374|+|104283-106236|ARO:3003305|Ureaplasma,1953,0,0
gb|AL450380|+|296695-297550|ARO:3003389|Mycobacterium,856,0,0
gb|AE000516|-|4318327-4319797|ARO:3003458|Mycobacterium,1471,0,0
gb|AL450380|+|7317-11067|ARO:3003298|Mycobaterium,3751,0,0
gb|D67075.1|+|384-2376|ARO:3003314|Staphylococcus,1992,0,0
gb|AE009949|+|878481-879282|ARO:3003387|Streptococcus,802,0,0
gb|CP001138|-|613435-614017|ARO:3003379|Salmonella,583,0,0
gb|CP011538.1|-|660262-663064|ARO:3003310|Mycoplasma,2802,0,0
gb|NC_002516.2|-|5576027-5577917|ARO:3003685|Pseudomonas,1890,0,0
gb|CP010781.1|-|2255674-2256463|ARO:3003573|LpxA,789,0,0
gb|CP010781.1|-|3758031-3758934|ARO:3003574|LpxC,903,0,0
gb|AB003428.1|+|151-2416|ARO:3003702|Pseudomonas,2265,0,0
gb|NC_002163.1|-|957630-960222|ARO:3003789|Campylobacter,2592,0,0
gb|NC_002946.2|-|618438-621189|ARO:3003928|Neisseria,2751,0,0
gb|NC_015964.1|+|1996520-1999166|ARO:3003924|Haemophilus,2646,0,0
gb|NC_015964.1|+|1905162-1907418|ARO:3003925|Haemophilus,2256,0,0
gb|NC_002946.2|+|1210523-1212827|ARO:3003929|Neisseria,2304,0,0
gb|NC_002946.2|-|1807358-1807670|ARO:3003930|rpsJ,312,0,0
gb|ACLQ01000019.1|+|24238-26749|ARO:3003931|Capnocytophaga,2511,0,0
gb|NC_003112.2|+|419828-421574|ARO:3003937|Neisseria,1746,0,0
gb|NC_003098.1|-|1494215-1496273|ARO:3003042|Streptococcus,2058,0,0
gb|AY168442.1|+|53-1109|ARO:3003970|D-Ala-D-Ala,1056,0,0
gb|NC_006085.1|+|0-2676|ARO:3003974|Propionibacterium,2676,0,0
gb|NC_009089.1|+|6065-8492|ARO:3003995|Clostridium,2427,0,0
gb|JN645706|+|0-2253|ARO:3003043|Streptococcus,2253,0,0
gb|NC_002162.1|+|531446-533999|ARO:3003309|Ureaplasma,2553,0,0
gb|CP019562.1|+|220125-220929|ARO:3004097|Streptococcus,804,0,0
